swarm_x,obesity,Tract,GEOID,Highlight
0.0039,42.6,Tract 972.02,36081097202,Other Queens tracts
0.0039,40.7,Tract 972.05,36081097205,Other Queens tracts
0.0039,39.3,Tract 972.06,36081097206,Other Queens tracts
0.0039,37.1,Tract 992,36081099200,Other Queens tracts
-0.0036,36.2,Tract 288.02,36081028802,Other Queens tracts
0.0195,35.9,Tract 43,36081004300,Other Queens tracts
0.0039,35.8,Tract 1032.01,36081103201,Other Queens tracts
-0.0121,35.8,Tract 87,36081008700,Other Queens tracts
0.0159,35.4,Tract 334.04,36081033404,Other Queens tracts
0.0039,35.1,Tract 399.02,36081039902,Other Queens tracts
0.0351,34.7,Tract 334.03,36081033403,Other Queens tracts
0.0195,34.6,Tract 320,36081032000,Other Queens tracts
-0.0117,34.6,Tract 664.03,36081066403,Other Queens tracts
0.0039,34.5,Tract 278,36081027800,Other Queens tracts
0.0183,34.1,Tract 184.01,36081018401,Other Queens tracts
0.0039,33.9,Tract 25,36081002500,Other Queens tracts
-0.026,33.5,Tract 539.02,36081053902,Other Queens tracts
-0.0104,33.4,Tract 394,36081039400,Other Queens tracts
0.0343,33.4,Tract 407.01,36081040701,Other Queens tracts
0.0039,33.2,Tract 254.02,36081025402,Other Queens tracts
0.0199,33.2,Tract 443.01,36081044301,Other Queens tracts
0.0479,33,Tract 526,36081052600,Other Queens tracts
-0.0124,32.9,Tract 334.01,36081033401,Other Queens tracts
0.0336,32.8,Meadowmere (Tract 664.01),36081066401,Meadowmere
-0.0376,32.8,Tract 518,36081051800,Other Queens tracts
0.002,32.7,Tract 998.01,36081099801,Other Queens tracts
0.018,32.7,Tract 522,36081052200,Other Queens tracts
-0.0256,32.5,Tract 1010.04,36081101004,Other Queens tracts
-0.01,32.4,Tract 276,36081027600,Other Queens tracts
0.0095,32.3,Tract 1008.03,36081100803,Other Queens tracts
-0.0532,32.3,Tract 528,36081052800,Other Queens tracts
0.0394,32.2,Tract 524,36081052400,Other Queens tracts
0.0555,32.2,Tract 413,36081041300,Other Queens tracts
0.0238,32.1,Tract 280,36081028000,Other Queens tracts
-0.0389,32.1,Tract 532,36081053200,Other Queens tracts
-0.0025,32,Tract 282,36081028200,Other Queens tracts
-0.0233,32,Tract 260,36081026000,Other Queens tracts
0.0118,31.8,Tract 384,36081038400,Other Queens tracts
0.048,31.8,Tract 294,36081029400,Other Queens tracts
-0.0553,31.7,Tract 954,36081095400,Other Queens tracts
-0.0904,31.7,Tract 690,36081069000,Other Queens tracts
-0.0158,31.6,Tract 654.01,36081065401,Other Queens tracts
0.0262,31.6,Tract 274,36081027400,Other Queens tracts
-2e-4,31.5,Tract 1227.02,36081122702,Other Queens tracts
-0.041,31.5,Tract 590,36081059000,Other Queens tracts
