Tract,GEOID,Obesity rate,Highlight
Tract 972.02,36081097202,42.6,Other Queens tracts
Tract 972.05,36081097205,40.7,Other Queens tracts
Tract 972.06,36081097206,39.3,Other Queens tracts
Tract 992,36081099200,37.1,Other Queens tracts
Tract 288.02,36081028802,36.2,Other Queens tracts
Tract 43,36081004300,35.9,Other Queens tracts
Tract 1032.01,36081103201,35.8,Other Queens tracts
Tract 87,36081008700,35.8,Other Queens tracts
Tract 334.04,36081033404,35.4,Other Queens tracts
Tract 399.02,36081039902,35.1,Other Queens tracts
Tract 334.03,36081033403,34.7,Other Queens tracts
Tract 320,36081032000,34.6,Other Queens tracts
Tract 664.03,36081066403,34.6,Other Queens tracts
Tract 278,36081027800,34.5,Other Queens tracts
Tract 184.01,36081018401,34.1,Other Queens tracts
Tract 25,36081002500,33.9,Other Queens tracts
Tract 539.02,36081053902,33.5,Other Queens tracts
Tract 394,36081039400,33.4,Other Queens tracts
Tract 407.01,36081040701,33.4,Other Queens tracts
Tract 254.02,36081025402,33.2,Other Queens tracts
Tract 443.01,36081044301,33.2,Other Queens tracts
Tract 526,36081052600,33.0,Other Queens tracts
Tract 334.01,36081033401,32.9,Other Queens tracts
Meadowmere (Tract 664.01),36081066401,32.8,Meadowmere
Tract 518,36081051800,32.8,Other Queens tracts
Tract 998.01,36081099801,32.7,Other Queens tracts
Tract 522,36081052200,32.7,Other Queens tracts
Tract 1010.04,36081101004,32.5,Other Queens tracts
Tract 276,36081027600,32.4,Other Queens tracts
Tract 1008.03,36081100803,32.3,Other Queens tracts
Tract 528,36081052800,32.3,Other Queens tracts
Tract 524,36081052400,32.2,Other Queens tracts
Tract 413,36081041300,32.2,Other Queens tracts
Tract 280,36081028000,32.1,Other Queens tracts
Tract 532,36081053200,32.1,Other Queens tracts
Tract 282,36081028200,32.0,Other Queens tracts
Tract 260,36081026000,32.0,Other Queens tracts
Tract 384,36081038400,31.8,Other Queens tracts
Tract 294,36081029400,31.8,Other Queens tracts
Tract 954,36081095400,31.7,Other Queens tracts
Tract 690,36081069000,31.7,Other Queens tracts
Tract 654.01,36081065401,31.6,Other Queens tracts
Tract 274,36081027400,31.6,Other Queens tracts
Tract 1227.02,36081122702,31.5,Other Queens tracts
Tract 590,36081059000,31.5,Other Queens tracts
Tract 942.02,36081094202,31.5,Other Queens tracts
Tract 610,36081061000,31.4,Other Queens tracts
Tract 540,36081054000,31.4,Other Queens tracts
Tract 368,36081036800,31.4,Other Queens tracts
Tract 358,36081035800,31.4,Other Queens tracts
Tract 366,36081036600,31.4,Other Queens tracts
Tract 530,36081053000,31.4,Other Queens tracts
Tract 538,36081053800,31.4,Other Queens tracts
Tract 972.04,36081097204,31.3,Other Queens tracts
Tract 592,36081059200,31.2,Other Queens tracts
Tract 414,36081041400,31.2,Other Queens tracts
Tract 273.01,36081027301,31.2,Other Queens tracts
Tract 379,36081037900,31.2,Other Queens tracts
Tract 373,36081037300,31.2,Other Queens tracts
Tract 535.01,36081053501,31.1,Other Queens tracts
Tract 306,36081030600,31.1,Other Queens tracts
Tract 328,36081032800,31.1,Other Queens tracts
Tract 262,36081026200,31.0,Other Queens tracts
Tract 600,36081060000,31.0,Other Queens tracts
Tract 365,36081036500,31.0,Other Queens tracts
Tract 377,36081037700,31.0,Other Queens tracts
Tract 534.01,36081053401,30.9,Other Queens tracts
Tract 184.02,36081018402,30.9,Other Queens tracts
Tract 998.02,36081099802,30.9,Other Queens tracts
Tract 352,36081035200,30.8,Other Queens tracts
Tract 439,36081043900,30.8,Other Queens tracts
Tract 266,36081026600,30.8,Other Queens tracts
Tract 508,36081050800,30.8,Other Queens tracts
Tract 434,36081043400,30.8,Other Queens tracts
Tract 330,36081033000,30.8,Other Queens tracts
Tract 694,36081069400,30.8,Other Queens tracts
